generation;avg-f1;avg-f2;avg-f3;sizepareto;time(ms);numberiterationfirstgenerationfixederror
155;2.37;5.07;11.92;11
156;2.59;5.78;11.95;13
157;2.44;5.29;12.01;12
158;2.46;4.82;12.09;13
159;2.64;5.37;12.03;12
160;2.48;5.46;11.93;13
161;2.53;5.35;11.89;12
162;2.66;5.7;12.01;12
163;2.52;5.67;12.0;11
164;2.62;5.38;11.92;13
165;2.66;5.65;12.06;13
166;2.65;5.74;11.89;13
167;2.5;5.27;11.98;14
168;2.57;5.61;11.9;13
169;2.51;5.79;11.98;13
170;2.31;5.01;11.89;11
171;2.48;5.6;11.94;12
172;2.51;5.55;11.97;12
173;2.57;5.38;11.97;11
174;2.48;5.43;11.94;13
175;2.46;5.23;11.91;12
176;2.44;5.03;12.0;11
177;2.56;5.73;12.04;12
178;2.46;5.53;11.94;12
179;2.51;6.03;12.04;14
180;2.46;4.94;11.86;12
181;2.57;5.54;11.89;12
182;2.63;5.71;12.01;12
183;2.39;5.93;11.86;13
184;2.43;5.49;11.92;12
185;2.5;5.58;11.84;11
186;2.52;6.01;11.98;14
187;2.39;5.36;11.89;12
188;2.44;5.44;12.05;12
189;2.49;5.33;12.14;12
190;2.56;5.19;12.04;12
191;2.46;5.05;11.99;12
192;2.4;5.14;11.98;11
193;2.55;5.7;11.94;14
194;2.54;5.3;11.92;12
195;2.47;5.78;11.87;14
196;2.4;5.04;12.0;10
197;2.52;5.45;12.02;14
198;2.57;5.27;12.17;11
199;2.41;5.57;11.89;12
200;2.5;5.64;11.94;12
201;2.46;5.25;11.89;10
202;2.6;5.28;11.89;12
203;2.51;5.69;11.92;14
204;2.44;5.96;11.96;14
205;2.39;5.66;11.87;10
206;2.47;5.77;11.91;13
207;2.44;5.63;11.88;12
208;2.32;5.32;12.01;12
209;2.37;5.55;12.04;12
210;2.52;5.41;12.0;13
211;2.39;5.41;11.99;12
212;2.45;5.35;11.95;13
213;2.3;5.53;11.97;12
214;2.46;5.76;11.87;12
215;2.39;5.49;11.93;13
216;2.53;5.1;11.94;11
217;2.53;5.47;11.95;11
